bpin;nombreproyecto;objetivogeneral;estadoproyecto;horizonte;sector;entidadresponsable;programapresupuestal;tipoproyecto;valortotalproyecto;valorvigenteproyecto;valorobligacionproyecto;valorpagoproyecto;subestadoproyecto;codigoentidadresponsable;totalbeneficiario;plandesarrollonacional;municipio;departamento;Longitud
1,024E+12;Implementacion Programa De Silvicultura En La Zona Marginal Cafetera A Nivel Nacional - Kfw;ESTE PROYECTO BUSCA CONVERTIR LAS SUPERFICIES BOSCOSAS DEGRADADAS Y CULTIVADAS EN SISTEMAS DE ECONOMIA AGROFORESTAL ECOLOGICAMENTE ADAPTADOS ECONOMICAMENTE RENTABLES Y SOCIALMENTE VIABLES.;En Ejecución;2005-2018;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;Pgn;4.538.396.944.600.000.000;4.538.396.944.600.000.000;4.312.215.248.200.000.000;1.968.315.592.958.000.000;Inactivo  (PGN, Territorio);170101;17900;;;;
2,012E+12;Implementación De 360 Has De Cacao/Platano Para Beneficiar A 180 Productores Localizados En El Municipio De El Carmen De Bolivar San Jacinto Y San Juan Nepomuceno En El Depto De Bolivar.;GENERAR INGRESOS A LOS CAMPESINOS DE MANERA QUE ESTOS PUEDAN SOSTENER LA PRODUCCIN DE 360 HECTaREAS DE CACAO EN ZONAS RURALES DE LOS MUNICIPIOS DE SAN JACINTO EL CARMEN DE BOLiVAR Y SAN JUAN NEPOMUCENO EN EL DEPARTAMENTO DE BOLiVAR.;Terminado;2012-2022;Agricultura Y Desarrollo Rural;Bolívar;0670 APOYO;Sgr;299.996.400.000.000.000;300.000.000.000.000.000;0.00000000;299.996.400.000.000.000;Cerrado  (SGR);13;180;Todos por un nuevo país (2014-2018);;;
2,012E+12;Recuperación De La Especie De Bocachico En Los Cuerpos De Agua Del Caribe  En El Departamento De Bolivar.;RECUPERAR EL USO RACIONAL Y SOSTENIBLE DE LOS RECURSOS NATURALES RENOVABLES QUE PERMITA A LA VEZ CONTRIBUIR CON EL DESARROLLO SOCIO-ECONMICO DE LOS ZODES MOJANA-DEPRESIoN MOMPOSINA-LOBA-MAGDALENA MEDIO EN EL DEPARTAMENTO DE BOLiVAR.;Terminado;2012-2013;Agricultura Y Desarrollo Rural;Bolívar;0670 APOYO;Sgr;299.921.251.100.000.000;299.999.819.000.000.000;0.00000000;299.921.251.100.000.000;Cerrado  (SGR);13;243638;Todos por un nuevo país (2014-2018);;;
2,012E+12;Desarrollo De Alternativas Productivas Para Artesanos Como Mecanismo De Generacion De Ingresos Y Mantenimiento De Sus Tradiciones En El Departamento De Bolivar. Primera Etapa. 10 Municipios Y 1 Corregimiento Del Departamento.;IMPULSAR Y RECONOCER LAS ACTIVIDADES ARTESANALES COMO MEDIO DE GENERACION DE INGRESOS  Y MANTENIMIENTO DEL LEGADO CULTURAL EN LOS MUNICIPIOS DEL DEPARTAMENTO DE BOLIVAR.;Terminado;2012-2013;Agricultura Y Desarrollo Rural;Bolívar;0460 FORMACIÓN DE CAPITAL HUMANO PARA LA INVESTIGACIÓN Y DESARROLLO;Sgr;64.921.393.100.000.000;70.715.664.000.000.000;0.00000000;64.921.393.100.000.000;Cerrado  (SGR);13;950;Prosperidad para Todos (2010-2014);;;
2,013E+12;Apoyo Y Fomento Para El Mejoramiento Gentico De La Ganaderia Bovina En El Departamento De La Guajira.;MEJORAR LA PRODUCTIVIDAD DE LA ACTIVIDAD GANADERA A TRAVS DE LA IMPLEMENTACION DE BIOTECNOLOGIAS DE REPRODUCCIoN ALIMENTACIoN Y DE MANEJO.;Terminado;2013-2019;Agricultura Y Desarrollo Rural;La Guajira;0670 APOYO;Sgr;662.407.268.070.000.000;630.242.574.400.000.000;0.00000000;662.407.268.070.000.000;Terminado (SGR);44;4720;Todos por un nuevo país (2014-2018);;;
2,013E+12;Fortalecimiento Integrado De La Pesca Artesanal Del Departamento De La Guajira - Colombia;MEJORAR  LAS CONDICIONES ECONOMICAS Y TECNICAS DE LAS COMUNIDADES DE PESCADORES ARTESANALESDE LA MEDIA GUAJIRA.;Terminado;2012-2014;Agricultura Y Desarrollo Rural;La Guajira;0670 APOYO;Sgr;825.005.249.008.000.000;840.862.760.600.000.000;0.00000000;825.005.249.008.000.000;Terminado (SGR);44;2500;Todos por un nuevo país (2014-2018);;;
2,01301E+12;Fortalecimiento A La Gestión De Información Y Conocimiento Requeridos Por La Upra A Nivel Nacional;GESTIONAR LA INFORMACIÓN QUE REQUIERE LA UPRA PARA LA PLANIFICACIÓN DEL ORDENAMIENTO SOCIAL DE LA PROPIEDAD LA REGULARIZACIÓN DEL MERCADO EL USO EFICIENTE Y LA ADECUACIÓN DE TIERRAS RURALES DEL PAÍS CON UNA VISIÓN SECTORIAL.;En Ejecución;2014-2018;Agricultura Y Desarrollo Rural;Unidad de Planificación de Tierras Rurales Adecuación de Tierras y Usos Agropecuarios - UPRA - Agricultura y Desarrollo Rural;1708 CIENCIA, TECNOLOGÍA E INNOVACIÓN AGROPECUARIA;Pgn;1.828.201.883.400.000.000;1.828.201.883.400.000.000;1.791.044.225.129.000.000;1.643.316.227.413.000.000;Inactivo  (PGN, Territorio);170106;47376632;;;;
2,01301E+12;Desarrollo De Soluciones Tecnológicas Apropiadas Para El Sector Agropecuario Forestal Y Pesquero A Nivel Nacional;BRINDAR SOLUCIONES TECNOLÓGICAS AGROPECUARIAS FORESTALES Y PESQUERASCOMPETITIVAS SOSTENIBLES Y PÚBLICAS DESDE EL 2014 AL 2019;En Ejecución;2013-2019;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1708 CIENCIA, TECNOLOGÍA E INNOVACIÓN AGROPECUARIA;Pgn;12.798.317.073.600.000.000;12.798.317.073.600.000.000;11.590.160.395.596.000.000;8.174.125.920.696.000.000;Inactivo  (PGN, Territorio);170101;6000;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
2,01301E+12;Construcción Viviendas De Interes Social Rural Contratos Plan Sur Del Tolima Y Norte Del Cauca;MEJORAMIENTO DE HABITAT EN ZONA RURAL  DE LOS MUNICIPIOS DEL NORTE DEL CAUCA Y SUR DEL TOLIMA.;En Ejecución;2013-2015;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;0520 ADMINISTRACION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA APOYO A LA ADMINISTRACION DEL ESTADO;Pgn;5.772.884.000.000.000.000;5.772.884.000.000.000.000;5.772.884.000.000.000.000;1.506.726.922.400.000.000;Inactivo  (PGN, Territorio);170101;21713;Todos por un nuevo país (2014-2018);;;
24010239999;Implantacion Y Operacion Fondo De Comercializacion De Productos Agropecuarios A Nivel Nacional.;EL OBJETIVO DEL PROYECTO ES MODERNIZAR MEJORAR Y FORTALECER LA COMERCIALIZACION DE LOS PRODUCTOS AGROPECUARIOS Y LOS INGRESOS PERCIBIDOS POR LOS PRODUCTORES RURALES GENERANDO ASI EMPLEO RURAL BIENESTAR Y PAZ  SOCIAL;En Ejecución;2000-2018;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;Pgn;172.170.646.919.000.000.000;172.170.646.919.000.000.000;161.057.657.830.674.000.000;114.920.290.909.868.000.000;Inactivo  (PGN, Territorio);170101;80000;;;;
